dataset: CIFAR100
baseline_full_acc: 73.17
transductive_oracle_full_acc: 73.05
transductive_oracle_gain: -0.12
routed_anchor_gain: 0.07
discrete_oracle_gain: 3.25
baseline_base_acc: 77.867
baseline_novel_acc: 66.125
transductive_oracle_base_acc: 78.517
transductive_oracle_novel_acc: 64.85
mean_alpha_base: 0.6
mean_alpha_novel: 0.6
