class_id,class_name,intro_session,0:house finch,1:robin,2:triceratops,3:green mamba,4:harvestman,5:toucan,6:goose,7:jellyfish,8:nematode,9:king crab,10:dugong,11:Walker hound,12:Ibizan hound,13:Saluki,14:golden retriever,15:Gordon setter,16:komondor,17:boxer,18:Tibetan mastiff,19:French bulldog,20:malamute,21:dalmatian,22:Newfoundland,23:miniature poodle,24:white wolf,25:African hunting dog,26:Arctic fox,27:lion,28:meerkat,29:ladybug,30:rhinoceros beetle,31:ant,32:black-footed ferret,33:three-toed sloth,34:rock beauty,35:aircraft carrier,36:ashcan,37:barrel,38:beer bottle,39:bookshop,40:cannon,41:carousel,42:carton,43:catamaran,44:chime,45:clog,46:cocktail shaker,47:combination lock,48:crate,49:cuirass,50:dishrag,51:dome,52:electric guitar,53:file,54:fire screen,55:frying pan,56:garbage truck,57:hair slide,58:holster,59:horizontal bar,60:hourglass,61:iPod,62:lipstick,63:miniskirt,64:missile,65:mixing bowl,66:oboe,67:organ,68:parallel bars,69:pencil box,70:photocopier,71:poncho,72:prayer rug,73:reel,74:school bus,75:scoreboard,76:slot,77:snorkel,78:solar dish,79:spider web,80:stage,81:tank,82:theater curtain,83:tile roof,84:tobacco shop,85:unicycle,86:upright,87:vase,88:wok,89:worm fence,90:yawl,91:street sign,92:consomme,93:trifle,94:hotdog,95:orange,96:cliff,97:coral reef,98:bolete,99:ear
10,dugong,0,0.030257,0.001193,0.076298,0.094327,-0.027257,0.019074,0.039480,0.126046,0.060948,0.027734,1.000000,0.037258,-0.006907,-0.020099,-0.016130,-0.032783,0.092051,0.060069,-0.026301,0.043016,-0.032815,0.031212,-0.005807,0.006159,0.036694,0.074140,0.020322,0.029085,-0.075156,0.014489,0.052170,0.035909,0.043256,0.049000,0.124136,0.051983,0.022813,0.000201,0.028337,-0.012075,0.137227,0.028027,0.015009,0.027953,0.033244,0.041738,-0.009295,0.000817,-0.014761,0.016868,-0.057997,-0.022123,-0.043726,-0.011879,-0.023457,0.029184,0.031514,0.024392,-0.032788,0.037610,0.010204,-0.014977,-0.050255,0.019141,0.002744,0.051565,-0.029434,0.013807,0.028509,0.031301,0.014409,-0.042780,-0.011082,0.026843,0.027479,-0.024980,0.022572,0.170515,-0.026115,0.019518,-0.014747,-0.026756,0.039783,0.020678,0.004732,-0.014221,0.054415,-0.014240,0.018661,-0.029680,0.036139,0.043352,-0.008672,0.037521,0.046954,0.003112,-0.041077,0.102210,0.029649,0.000683
11,Walker hound,0,0.001917,0.029572,0.007217,0.023562,-0.016148,0.066987,0.023801,-0.016257,0.012548,0.038658,0.037258,1.000000,0.310052,0.237129,-0.012292,0.059198,0.001775,0.165952,-0.042536,0.044199,0.056253,0.231521,-0.083056,0.040431,0.005719,0.046967,0.017642,0.053139,0.007509,0.040779,0.006608,0.046818,-0.028395,-0.023784,0.043154,0.001158,0.015321,-0.000058,0.073149,-0.022817,0.035816,0.058024,0.016975,0.024583,0.009865,0.049998,-0.016400,0.024403,0.006973,-0.031309,0.008825,0.006945,0.016103,-0.007602,0.058826,0.038527,0.038723,-0.032439,-0.011716,-0.013992,-0.013492,0.011038,0.007709,0.047141,-0.007609,-0.045649,0.001093,-0.010806,-0.009089,0.004360,0.041918,0.048000,0.014194,0.014099,0.034572,0.036157,0.028633,0.010507,-0.015249,0.035081,0.015561,-0.036068,0.014368,0.018913,0.001913,-0.003544,0.023765,-0.051621,0.045322,0.031403,0.033996,-0.053419,-0.030102,-0.041270,0.009587,0.012943,0.061721,-0.016735,0.019028,-0.041970
12,Ibizan hound,0,-0.018357,0.006171,0.015682,0.053033,0.009420,0.015626,0.022066,-0.002106,0.046408,0.025928,-0.006907,0.310052,1.000000,0.506881,0.033111,-0.008252,0.023111,0.146819,-0.087998,0.033628,0.052762,0.169757,-0.087931,0.086321,0.101764,0.143549,0.017185,0.089514,0.030300,-0.009930,0.030622,0.054557,0.017451,0.024553,0.020619,0.008377,0.013479,-0.024732,0.056267,-0.002196,0.020911,0.054674,0.037089,0.002036,0.051533,0.037966,0.044296,0.016461,0.021942,0.002064,-0.037919,0.002312,0.008084,0.006947,0.002110,-0.020363,0.010096,-0.026666,0.009344,0.054797,0.016590,0.056892,0.025213,0.026284,0.005660,-0.010756,0.043147,-0.034817,0.068204,0.004413,0.009224,0.011030,-0.005724,0.022182,-0.007212,0.021936,-0.030439,0.036474,-0.009126,-0.006061,0.018794,-0.023387,0.003632,0.029481,-0.012110,0.046299,-0.006975,-0.018002,-0.030597,0.047006,-0.004788,-0.037341,0.017556,-0.020610,0.050998,-0.028944,0.063232,-0.028898,0.023259,0.031438
13,Saluki,0,0.013784,0.006698,0.000273,0.049898,0.054969,0.024505,0.024534,0.028855,0.080103,0.015367,-0.020099,0.237129,0.506881,1.000000,0.236013,0.194920,0.039507,0.062404,0.000257,-0.040526,0.115408,0.096976,-0.083332,0.118952,0.093779,0.131301,0.042523,0.070019,0.059989,0.005092,0.029303,0.030587,-0.007965,0.086799,0.032185,-0.013981,-0.013056,-0.042218,0.032764,0.005788,0.007574,0.035186,0.000512,0.033793,0.008841,0.009050,0.027407,0.006770,0.039816,-0.042551,-0.036125,0.041860,-0.021536,0.040908,-0.012052,0.032489,0.023787,-0.002028,-0.023282,0.051000,-0.006822,0.068083,0.010786,0.022968,-0.013288,-0.033929,0.019561,-0.055155,0.067461,0.008084,0.064901,0.008279,0.001600,0.036338,-0.000428,0.007851,-0.007454,-0.009873,0.026140,0.008752,0.042992,-0.003283,-0.031194,0.011295,0.006613,0.059684,-0.016237,0.004225,0.029352,0.038193,0.011984,0.033979,0.009542,-0.030181,0.023797,-0.025508,0.107153,0.005720,0.058651,0.055401
14,golden retriever,0,0.015435,0.016305,0.039084,0.034239,0.018250,0.044304,0.077501,0.028133,0.001957,0.029824,-0.016130,-0.012292,0.033111,0.236013,1.000000,0.234700,0.000713,-0.031543,0.231108,0.021288,0.050943,0.030701,0.279273,0.029898,0.100123,0.031019,0.033854,0.094395,0.067631,0.014122,0.025215,0.021670,0.026751,0.081819,0.030590,0.046833,-0.004199,0.003837,0.026811,-0.028637,-0.037974,0.038554,-0.035181,-0.040462,-0.006949,-0.004120,0.001061,-0.038441,0.055662,-0.010059,0.033759,0.057248,0.023183,0.009560,0.000179,0.047860,-0.013820,-0.006661,0.008538,0.018917,-0.040119,0.048984,0.036199,0.010430,-0.017278,-0.015328,-0.024391,0.010210,0.011756,0.014645,-0.028729,0.061561,0.005686,0.000264,0.004107,-0.012452,0.000447,0.023927,0.007889,0.028146,0.037864,0.000962,-0.019992,0.039344,-0.024874,0.011180,-0.034733,-0.014976,0.024129,-0.021961,0.012647,0.028916,0.071321,-0.047107,-0.015823,0.015013,0.030613,0.017082,0.024454,0.036831
15,Gordon setter,0,0.025838,0.039370,0.038694,-0.031223,0.003115,0.073156,0.019681,0.014605,-0.041845,0.004189,-0.032783,0.059198,-0.008252,0.194920,0.234700,1.000000,0.041835,-0.020433,0.376348,0.042373,-0.035859,-0.005193,0.210294,0.094186,0.013313,0.066584,-0.008615,0.052687,0.081069,0.010537,0.047465,0.043087,-0.017155,0.054403,0.023887,-0.015786,0.000549,0.019049,-0.010067,0.053072,-0.017419,0.012793,0.025374,-0.031551,-0.034048,-0.005468,-0.003659,-0.023535,0.046289,-0.008774,-0.019691,0.027075,-0.033743,0.061809,0.009380,0.012497,-0.009461,-0.010223,-0.021913,-0.040812,-0.018890,-0.004793,0.034660,0.005190,0.059183,-0.018638,-0.020642,-0.035093,-0.035924,-0.006235,0.031790,0.045098,-0.009388,0.042691,0.052292,0.010644,-0.031796,0.028591,0.012035,0.062429,0.003678,0.017018,0.011195,-0.006413,0.008463,0.030659,-0.007124,-0.007489,0.046263,0.020800,0.020006,-0.008768,-0.049690,-0.020700,0.008562,0.017234,0.047236,0.025964,0.057720,0.028161
16,komondor,0,0.078998,0.047480,0.023517,0.040856,0.043084,0.049026,0.067287,0.014775,0.025541,0.070548,0.092051,0.001775,0.023111,0.039507,0.000713,0.041835,1.000000,0.052714,0.069902,0.041160,0.024898,0.021802,0.138598,0.139386,0.111958,0.035586,0.041591,0.064138,-0.014129,0.000166,0.033967,-0.026014,0.027376,0.013863,-0.023242,0.002953,0.041982,0.027319,0.000630,0.075031,0.038694,0.032649,-0.004465,-0.000371,0.028694,0.014594,0.011017,-0.009350,-0.018835,-0.034285,0.064048,-0.007870,-0.034594,-0.004153,0.007353,0.016372,-0.034893,-0.002913,-0.000145,-0.042358,-0.026969,0.004204,0.050394,0.052705,0.036602,-0.063090,0.046290,-0.000817,-0.043492,0.026526,0.028118,0.109484,0.042922,-0.000554,0.037176,0.015809,-0.048179,0.019293,0.007823,0.062066,0.037753,0.007117,0.090723,0.007912,0.042199,-0.031968,0.005363,0.043354,0.046599,0.030028,-0.013378,-0.009114,-0.042194,0.016206,-0.025024,-0.009474,0.023392,0.056544,0.006446,0.058658
17,boxer,0,0.009132,0.069690,0.007539,-0.016474,0.089288,0.086890,0.043966,0.019493,0.058985,0.015598,0.060069,0.165952,0.146819,0.062404,-0.031543,-0.020433,0.052714,1.000000,0.023794,0.406132,0.010929,0.127761,0.048116,0.009045,0.022093,-0.008138,-0.024992,0.063781,0.025387,0.063040,0.000342,-0.012087,0.003472,0.023830,0.002986,-0.001708,0.016723,0.040483,0.028405,0.023539,0.044589,0.037193,-0.039411,0.008973,-0.036780,0.055912,-0.125319,-0.000774,-0.027965,-0.003028,0.010178,-0.025277,-0.005663,-0.001884,-0.012205,-0.004522,0.099707,-0.044551,0.026444,0.010275,0.007776,-0.041364,0.009405,0.047396,0.008843,-0.025047,-0.022131,-0.003600,0.011799,-0.048037,0.058577,0.021265,-0.006047,-0.034689,0.054346,0.087327,0.004391,0.042431,0.005212,0.025558,0.037615,-0.039424,-0.000716,-0.026010,-0.022899,0.040685,-0.029690,-0.056300,0.009901,-0.008199,-0.046126,-0.023688,0.000602,0.054238,0.008547,0.049094,0.007781,-0.001717,0.011125,-0.012098
18,Tibetan mastiff,0,0.004621,0.081675,0.033317,0.039815,0.030216,0.036930,0.073691,0.045546,-0.014240,-0.012417,-0.026301,-0.042536,-0.087998,0.000257,0.231108,0.376348,0.069902,0.023794,1.000000,0.037433,0.206937,-0.043829,0.686971,0.010839,0.143968,0.102313,0.078500,0.128491,0.041706,0.003856,-0.006669,0.068077,0.037098,-0.009601,0.031355,0.063426,-0.032229,0.020728,-0.015475,0.000892,-0.011309,0.018701,-0.010198,-0.051336,-0.016841,-0.009036,-0.078749,-0.021447,0.000664,-0.074602,-0.002926,0.007719,0.020299,0.006711,0.006737,0.013439,0.009460,-0.008686,-0.066255,0.000791,0.037383,-0.007994,-0.003826,-0.002057,-0.024467,-0.010134,-0.002377,-0.036196,-0.006003,-0.012951,0.046222,-0.002003,0.028551,0.002029,0.001248,0.009931,-0.002376,-0.037817,0.020657,0.005576,0.003470,-0.024328,0.041695,-0.013219,0.008392,0.010903,0.016125,-0.062047,-0.016827,-0.012904,0.018195,-0.053985,0.022996,0.023795,0.057827,0.011648,0.062839,-0.013169,0.079494,-0.009554
19,French bulldog,0,0.026256,0.012556,0.046239,-0.067572,0.008233,0.080300,0.010390,0.024972,-0.002297,0.004782,0.043016,0.044199,0.033628,-0.040526,0.021288,0.042373,0.041160,0.406132,0.037433,1.000000,0.021085,0.033924,0.022200,0.038361,0.022699,0.045938,0.001265,0.040825,-0.008295,0.049465,0.058263,0.038217,0.013235,-0.024137,0.068648,0.002149,-0.005639,-0.005405,0.036367,0.011103,0.039501,0.042113,-0.024835,0.013027,-0.011744,0.026755,-0.041809,0.032662,-0.025514,0.004241,-0.030853,0.010920,0.010469,0.002013,-0.004526,0.024143,0.037126,0.003237,-0.031811,0.019458,-0.025776,0.003755,-0.026417,0.065580,-0.004361,0.050068,0.026059,0.022635,0.039207,0.023176,0.049979,0.019550,0.004686,-0.012732,0.145263,0.045501,0.009673,0.038197,0.033068,0.028233,0.061979,0.015183,0.044498,-0.057533,-0.039244,0.001173,-0.060737,-0.036895,0.012647,-0.013254,-0.019963,-0.041728,0.003977,0.047710,0.013123,0.043004,0.000869,0.013540,-0.002339,0.026544
