class_id,class_name,intro_session,0:house finch,1:robin,2:triceratops,3:green mamba,4:harvestman,5:toucan,6:goose,7:jellyfish,8:nematode,9:king crab,10:dugong,11:Walker hound,12:Ibizan hound,13:Saluki,14:golden retriever,15:Gordon setter,16:komondor,17:boxer,18:Tibetan mastiff,19:French bulldog,20:malamute,21:dalmatian,22:Newfoundland,23:miniature poodle,24:white wolf,25:African hunting dog,26:Arctic fox,27:lion,28:meerkat,29:ladybug,30:rhinoceros beetle,31:ant,32:black-footed ferret,33:three-toed sloth,34:rock beauty,35:aircraft carrier,36:ashcan,37:barrel,38:beer bottle,39:bookshop,40:cannon,41:carousel,42:carton,43:catamaran,44:chime,45:clog,46:cocktail shaker,47:combination lock,48:crate,49:cuirass,50:dishrag,51:dome,52:electric guitar,53:file,54:fire screen,55:frying pan,56:garbage truck,57:hair slide,58:holster,59:horizontal bar,60:hourglass,61:iPod,62:lipstick,63:miniskirt,64:missile,65:mixing bowl,66:oboe,67:organ,68:parallel bars,69:pencil box,70:photocopier,71:poncho,72:prayer rug,73:reel,74:school bus,75:scoreboard,76:slot,77:snorkel,78:solar dish,79:spider web,80:stage,81:tank,82:theater curtain,83:tile roof,84:tobacco shop,85:unicycle,86:upright,87:vase,88:wok,89:worm fence,90:yawl,91:street sign,92:consomme,93:trifle,94:hotdog,95:orange,96:cliff,97:coral reef,98:bolete,99:ear
63,miniskirt,1,0.558157,0.567239,0.626277,0.620436,0.592675,0.590193,0.636837,0.659123,0.614361,0.635902,0.602742,0.682010,0.704522,0.698737,0.701922,0.686871,0.721138,0.708503,0.672676,0.723953,0.688493,0.718700,0.683067,0.718364,0.631711,0.609135,0.634133,0.620579,0.647493,0.617895,0.596077,0.608753,0.664660,0.639368,0.594344,0.533000,0.736618,0.726344,0.714721,0.643053,0.641836,0.686781,0.732201,0.629978,0.747842,0.831892,0.800552,0.739334,0.734198,0.758529,0.745741,0.647109,0.729160,0.749908,0.768341,0.755274,0.622103,0.822582,0.766854,0.701365,0.703708,0.670919,0.808585,1.000000,0.559426,0.737658,0.568022,0.613025,0.701264,0.751533,0.585023,0.820817,0.676429,0.714672,0.611666,0.636626,0.668676,0.635360,0.658515,0.661717,0.670172,0.507334,0.648329,0.635937,0.642582,0.719952,0.655677,0.714328,0.714840,0.669070,0.565807,0.650582,0.631142,0.677999,0.646499,0.644359,0.624804,0.575153,0.553371,0.649876
64,missile,1,0.564423,0.559809,0.723123,0.639856,0.623226,0.642385,0.647953,0.683504,0.671846,0.620900,0.665521,0.603748,0.616622,0.610884,0.602016,0.589171,0.603869,0.606819,0.595113,0.587825,0.601871,0.611409,0.597916,0.577389,0.639963,0.651984,0.624764,0.661245,0.630990,0.612481,0.631989,0.666132,0.569734,0.639481,0.604323,0.786466,0.720799,0.741998,0.658836,0.648421,0.816640,0.697354,0.658818,0.667285,0.760679,0.640959,0.674394,0.712559,0.724221,0.690888,0.510474,0.781980,0.627928,0.633783,0.653515,0.647233,0.706956,0.597310,0.667627,0.658418,0.689394,0.545969,0.556683,0.559426,1.000000,0.608141,0.603864,0.736447,0.638042,0.513969,0.612636,0.600014,0.643209,0.643427,0.676878,0.679820,0.611868,0.602824,0.747957,0.651056,0.603954,0.738223,0.613435,0.718456,0.680356,0.615295,0.593729,0.581069,0.657547,0.712262,0.586146,0.728199,0.588589,0.517850,0.594465,0.644450,0.669689,0.663759,0.617883,0.671132
65,mixing bowl,2,0.647397,0.631675,0.656685,0.654621,0.619432,0.632541,0.685711,0.701330,0.664065,0.712130,0.605952,0.681527,0.700047,0.683331,0.709239,0.683375,0.705317,0.697588,0.664692,0.711108,0.687212,0.710808,0.686700,0.709997,0.636386,0.624808,0.643281,0.621562,0.657918,0.675279,0.634950,0.658846,0.661253,0.641645,0.617017,0.586871,0.796436,0.819461,0.772818,0.706371,0.689364,0.702248,0.782548,0.655632,0.838226,0.831641,0.847587,0.763404,0.827022,0.740875,0.783894,0.709664,0.703539,0.804186,0.820038,0.891184,0.672774,0.828975,0.735597,0.670065,0.757494,0.676507,0.713040,0.737658,0.608141,1.000000,0.615171,0.694168,0.690918,0.770642,0.656985,0.764194,0.718621,0.748028,0.641252,0.677204,0.641013,0.619570,0.732329,0.719538,0.630220,0.544706,0.648744,0.732714,0.678420,0.665172,0.724399,0.857198,0.846693,0.729094,0.636552,0.677554,0.769371,0.807590,0.692249,0.803463,0.642321,0.644987,0.655970,0.743064
66,oboe,2,0.557912,0.551680,0.608285,0.559960,0.531534,0.567182,0.604412,0.613595,0.620710,0.576701,0.574379,0.604507,0.599060,0.607623,0.599315,0.593513,0.594937,0.586825,0.570009,0.582666,0.593730,0.593105,0.596131,0.590979,0.563862,0.540461,0.550463,0.562058,0.580490,0.565354,0.545628,0.568126,0.562062,0.586151,0.549068,0.528504,0.634130,0.639574,0.596356,0.643382,0.636425,0.680297,0.582637,0.626418,0.732649,0.635855,0.631758,0.621111,0.639184,0.629806,0.556160,0.643577,0.723003,0.627509,0.637976,0.606655,0.579211,0.629939,0.599915,0.683144,0.645737,0.566925,0.563232,0.568022,0.603864,0.615171,1.000000,0.732268,0.641198,0.533498,0.535538,0.653815,0.607100,0.626195,0.598167,0.603517,0.567990,0.588171,0.608713,0.600319,0.754904,0.527810,0.647561,0.600854,0.594074,0.597045,0.724165,0.608140,0.628354,0.638793,0.594960,0.604241,0.556919,0.520483,0.518735,0.556381,0.567082,0.567609,0.560239,0.595458
67,organ,2,0.589109,0.586686,0.693664,0.610082,0.603149,0.634802,0.645965,0.678479,0.643471,0.630169,0.619437,0.602436,0.621731,0.615945,0.618964,0.612373,0.613460,0.612423,0.589062,0.618589,0.609116,0.624370,0.606651,0.600048,0.597228,0.606435,0.588475,0.633680,0.628679,0.628172,0.615006,0.632466,0.579420,0.637367,0.595319,0.629561,0.759420,0.788591,0.693004,0.744183,0.765525,0.741875,0.694735,0.692440,0.843036,0.723843,0.730327,0.740906,0.787984,0.737194,0.610282,0.871235,0.708468,0.753435,0.775729,0.690889,0.676509,0.692244,0.689508,0.684578,0.734848,0.599078,0.618795,0.613025,0.736447,0.694168,0.732268,1.000000,0.665473,0.607128,0.662426,0.678727,0.708526,0.671026,0.657421,0.703521,0.640550,0.626010,0.743078,0.686955,0.705749,0.620637,0.757230,0.796751,0.712745,0.639435,0.766878,0.690990,0.685753,0.726599,0.629322,0.746837,0.610872,0.600552,0.583134,0.672245,0.689521,0.678957,0.587700,0.681756
68,parallel bars,2,0.552504,0.546796,0.651824,0.631714,0.614473,0.626952,0.629377,0.649006,0.637763,0.636866,0.625072,0.653654,0.691620,0.699811,0.681256,0.665387,0.695383,0.679768,0.673590,0.695939,0.692426,0.686938,0.671028,0.680864,0.631927,0.620077,0.633241,0.639352,0.673530,0.606733,0.626511,0.640087,0.656243,0.677614,0.596279,0.571047,0.759895,0.719667,0.673831,0.627853,0.687136,0.708298,0.731518,0.650332,0.767554,0.746212,0.732237,0.710971,0.730929,0.724572,0.623389,0.650280,0.676229,0.709961,0.710132,0.698733,0.696535,0.717724,0.705546,0.933529,0.697149,0.634181,0.666641,0.701264,0.638042,0.690918,0.641198,0.665473,1.000000,0.623416,0.607869,0.718848,0.641672,0.704846,0.622050,0.676321,0.650023,0.663082,0.695084,0.658761,0.654936,0.579269,0.617633,0.650584,0.612910,0.776896,0.646342,0.651748,0.705106,0.662779,0.564798,0.669426,0.618320,0.615758,0.579362,0.653830,0.670350,0.580769,0.566332,0.660544
69,pencil box,2,0.584184,0.568201,0.596754,0.599737,0.573758,0.601642,0.597988,0.630495,0.585418,0.599728,0.559898,0.626651,0.649779,0.635202,0.652727,0.631342,0.664736,0.645462,0.624690,0.672526,0.631699,0.652313,0.640794,0.682970,0.578522,0.593877,0.600138,0.584733,0.636345,0.623213,0.583657,0.591664,0.637689,0.631486,0.588710,0.464148,0.706500,0.687188,0.666285,0.631761,0.588865,0.649845,0.776508,0.589654,0.727438,0.814033,0.769382,0.703354,0.754236,0.663617,0.837421,0.608611,0.664992,0.744557,0.766305,0.734341,0.591049,0.854891,0.736875,0.609196,0.663964,0.660619,0.710637,0.751533,0.513969,0.770642,0.533498,0.607128,0.623416,1.000000,0.584110,0.764963,0.716095,0.682729,0.569250,0.597742,0.602855,0.570872,0.644726,0.630121,0.585590,0.460171,0.582763,0.640086,0.616857,0.595538,0.673650,0.784309,0.722973,0.632037,0.552167,0.581761,0.632864,0.683543,0.629178,0.654843,0.601760,0.585161,0.543503,0.616660
70,photocopier,3,0.491448,0.490886,0.605516,0.567613,0.538583,0.563944,0.543545,0.583022,0.601912,0.548832,0.531758,0.583322,0.596169,0.579994,0.595130,0.576716,0.590756,0.585083,0.588179,0.584426,0.586148,0.598182,0.582657,0.583826,0.549815,0.560201,0.541435,0.551977,0.552809,0.537945,0.542981,0.563743,0.546499,0.567631,0.548576,0.552921,0.723963,0.684282,0.622428,0.653162,0.657303,0.619197,0.756772,0.614780,0.691659,0.662192,0.679957,0.722654,0.732695,0.643655,0.591935,0.649106,0.652698,0.829903,0.711979,0.657829,0.686521,0.634483,0.669891,0.591675,0.663989,0.632612,0.566813,0.585023,0.612636,0.656985,0.535538,0.662426,0.607869,0.584110,1.000000,0.616704,0.651556,0.649109,0.621996,0.638004,0.642794,0.518578,0.719336,0.587058,0.550422,0.570540,0.577874,0.645512,0.656095,0.561982,0.699751,0.641081,0.678186,0.621236,0.538301,0.618760,0.574110,0.534102,0.522401,0.589063,0.571102,0.553839,0.518621,0.597735
71,poncho,3,0.628632,0.630888,0.692744,0.671037,0.669038,0.672503,0.705821,0.724199,0.655014,0.721747,0.656104,0.729193,0.747276,0.744084,0.743154,0.733612,0.772521,0.742847,0.716580,0.751032,0.743290,0.756830,0.737158,0.759424,0.682395,0.661631,0.674715,0.671286,0.695267,0.680052,0.664274,0.675642,0.691959,0.708650,0.646116,0.572792,0.775491,0.762972,0.731308,0.695213,0.696861,0.780398,0.734483,0.704934,0.807247,0.833403,0.778557,0.729810,0.782926,0.777053,0.837047,0.709660,0.725094,0.752284,0.788694,0.764779,0.696164,0.837812,0.759695,0.758211,0.715054,0.633216,0.751220,0.820817,0.600014,0.764194,0.653815,0.678727,0.718848,0.764963,0.616704,1.000000,0.768915,0.749654,0.670304,0.692701,0.665996,0.725603,0.708513,0.745170,0.712861,0.558080,0.669990,0.684960,0.660753,0.759044,0.703174,0.774934,0.733555,0.724324,0.634225,0.697055,0.688233,0.719663,0.644335,0.715564,0.699614,0.664234,0.635761,0.725093
72,prayer rug,3,0.597941,0.588964,0.666478,0.650864,0.632035,0.647407,0.645190,0.672112,0.687539,0.643483,0.615538,0.645966,0.668458,0.656368,0.644765,0.642690,0.683380,0.646988,0.647268,0.633579,0.640108,0.655527,0.640489,0.642233,0.634041,0.653843,0.620170,0.661300,0.642507,0.649360,0.646940,0.665211,0.608252,0.660187,0.638829,0.559269,0.727597,0.752122,0.663498,0.687397,0.690009,0.706485,0.724702,0.639784,0.821440,0.795053,0.742436,0.742469,0.776154,0.750626,0.770524,0.750547,0.671920,0.748219,0.820650,0.725288,0.658883,0.779693,0.742464,0.672213,0.730098,0.568952,0.624415,0.676429,0.643209,0.718621,0.607100,0.708526,0.641672,0.716095,0.651556,0.768915,1.000000,0.678347,0.621196,0.639943,0.609919,0.629111,0.720326,0.697792,0.625559,0.592712,0.635784,0.778700,0.692937,0.633703,0.732453,0.731816,0.702630,0.714649,0.620141,0.671797,0.691058,0.616977,0.576173,0.671437,0.654587,0.683957,0.608398,0.671607
