class_id,class_name,intro_session,0:house finch,1:robin,2:triceratops,3:green mamba,4:harvestman,5:toucan,6:goose,7:jellyfish,8:nematode,9:king crab,10:dugong,11:Walker hound,12:Ibizan hound,13:Saluki,14:golden retriever,15:Gordon setter,16:komondor,17:boxer,18:Tibetan mastiff,19:French bulldog,20:malamute,21:dalmatian,22:Newfoundland,23:miniature poodle,24:white wolf,25:African hunting dog,26:Arctic fox,27:lion,28:meerkat,29:ladybug,30:rhinoceros beetle,31:ant,32:black-footed ferret,33:three-toed sloth,34:rock beauty,35:aircraft carrier,36:ashcan,37:barrel,38:beer bottle,39:bookshop,40:cannon,41:carousel,42:carton,43:catamaran,44:chime,45:clog,46:cocktail shaker,47:combination lock,48:crate,49:cuirass,50:dishrag,51:dome,52:electric guitar,53:file,54:fire screen,55:frying pan,56:garbage truck,57:hair slide,58:holster,59:horizontal bar,60:hourglass,61:iPod,62:lipstick,63:miniskirt,64:missile,65:mixing bowl,66:oboe,67:organ,68:parallel bars,69:pencil box,70:photocopier,71:poncho,72:prayer rug,73:reel,74:school bus,75:scoreboard,76:slot,77:snorkel,78:solar dish,79:spider web,80:stage,81:tank,82:theater curtain,83:tile roof,84:tobacco shop,85:unicycle,86:upright,87:vase,88:wok,89:worm fence,90:yawl,91:street sign,92:consomme,93:trifle,94:hotdog,95:orange,96:cliff,97:coral reef,98:bolete,99:ear
10,dugong,0,0.030257,0.001193,0.076298,0.094327,-0.027257,0.019074,0.039480,0.126046,0.060948,0.027734,1.000000,0.037258,-0.006907,-0.020099,-0.016130,-0.032783,0.092051,0.060069,-0.026301,0.043016,-0.032815,0.031212,-0.005807,0.006159,0.036694,0.074140,0.020322,0.029085,-0.075156,0.014489,0.052170,0.035909,0.043256,0.049000,0.124136,0.051983,0.022813,0.000201,0.028337,-0.012075,0.137227,0.028027,0.015009,0.027953,0.033244,0.041738,-0.009295,0.000817,-0.014761,0.016868,-0.057997,-0.022123,-0.043726,-0.011879,-0.023457,0.029184,0.031514,0.024392,-0.032788,0.037610,0.003174,-0.004240,-0.041328,0.020511,0.003090,0.042223,-0.010933,0.013840,0.024792,0.028986,0.012623,-0.024142,-0.008946,0.033427,0.038162,-0.016832,0.019608,0.194409,-0.025197,0.023322,-0.007829,-0.012873,0.051830,0.022141,-0.001707,-0.012829,0.050898,0.008431,0.026299,-0.029214,0.044699,0.041084,-0.008880,0.044631,0.049213,-0.003468,-0.020364,0.118790,0.028827,-0.008554
11,Walker hound,0,0.001917,0.029572,0.007217,0.023562,-0.016148,0.066987,0.023801,-0.016257,0.012548,0.038658,0.037258,1.000000,0.310052,0.237129,-0.012292,0.059198,0.001775,0.165952,-0.042536,0.044199,0.056253,0.231521,-0.083056,0.040431,0.005719,0.046967,0.017642,0.053139,0.007509,0.040779,0.006608,0.046818,-0.028395,-0.023784,0.043154,0.001158,0.015321,-0.000058,0.073149,-0.022817,0.035816,0.058024,0.016975,0.024583,0.009865,0.049998,-0.016400,0.024403,0.006973,-0.031309,0.008825,0.006945,0.016103,-0.007602,0.058826,0.038527,0.038723,-0.032439,-0.011716,-0.013992,-0.009540,0.012069,0.003606,0.040584,-0.006286,-0.045191,-0.000919,-0.006010,-0.006108,0.001552,0.039341,0.061427,0.012027,0.010239,0.034131,0.037743,0.025723,0.012854,-0.014051,0.031794,0.000020,-0.033791,0.012468,0.028468,0.015255,0.000084,0.026334,-0.033618,0.044991,0.031761,0.030608,-0.041048,-0.025144,-0.036749,0.014901,0.005590,0.077287,-0.020888,0.020745,-0.053988
12,Ibizan hound,0,-0.018357,0.006171,0.015682,0.053033,0.009420,0.015626,0.022066,-0.002106,0.046408,0.025928,-0.006907,0.310052,1.000000,0.506881,0.033111,-0.008252,0.023111,0.146819,-0.087998,0.033628,0.052762,0.169757,-0.087931,0.086321,0.101764,0.143549,0.017185,0.089514,0.030300,-0.009930,0.030622,0.054557,0.017451,0.024553,0.020619,0.008377,0.013479,-0.024732,0.056267,-0.002196,0.020911,0.054674,0.037089,0.002036,0.051533,0.037966,0.044296,0.016461,0.021942,0.002064,-0.037919,0.002312,0.008084,0.006947,0.002110,-0.020363,0.010096,-0.026666,0.009344,0.054797,0.015318,0.048625,0.034692,0.033181,0.019281,0.000435,0.036592,-0.036878,0.065995,-0.003182,0.002593,0.014513,-0.002517,0.022914,-0.005593,0.025583,-0.029593,0.038132,-0.010206,-0.012840,0.011786,-0.022523,0.003050,0.030435,0.000949,0.056046,-0.002042,0.005888,-0.033557,0.048929,-0.007689,-0.023097,0.025300,-0.031410,0.053087,-0.016023,0.067461,-0.026215,0.028606,0.032994
13,Saluki,0,0.013784,0.006698,0.000273,0.049898,0.054969,0.024505,0.024534,0.028855,0.080103,0.015367,-0.020099,0.237129,0.506881,1.000000,0.236013,0.194920,0.039507,0.062404,0.000257,-0.040526,0.115408,0.096976,-0.083332,0.118952,0.093779,0.131301,0.042523,0.070019,0.059989,0.005092,0.029303,0.030587,-0.007965,0.086799,0.032185,-0.013981,-0.013056,-0.042218,0.032764,0.005788,0.007574,0.035186,0.000512,0.033793,0.008841,0.009050,0.027407,0.006770,0.039816,-0.042551,-0.036125,0.041860,-0.021536,0.040908,-0.012052,0.032489,0.023787,-0.002028,-0.023282,0.051000,-0.012435,0.060305,0.007661,0.026795,-0.002288,-0.015615,0.024709,-0.058351,0.069419,0.016538,0.061473,0.000146,0.001039,0.034095,0.005298,0.020411,-0.007571,-0.006851,0.031728,0.002096,0.021018,-0.007854,-0.030957,0.007990,0.017805,0.069503,-0.010312,0.017619,0.035465,0.030635,0.018166,0.047801,0.010695,-0.039400,0.023884,-0.017081,0.112769,-0.001875,0.072987,0.058763
14,golden retriever,0,0.015435,0.016305,0.039084,0.034239,0.018250,0.044304,0.077501,0.028133,0.001957,0.029824,-0.016130,-0.012292,0.033111,0.236013,1.000000,0.234700,0.000713,-0.031543,0.231108,0.021288,0.050943,0.030701,0.279273,0.029898,0.100123,0.031019,0.033854,0.094395,0.067631,0.014122,0.025215,0.021670,0.026751,0.081819,0.030590,0.046833,-0.004199,0.003837,0.026811,-0.028637,-0.037974,0.038554,-0.035181,-0.040462,-0.006949,-0.004120,0.001061,-0.038441,0.055662,-0.010059,0.033759,0.057248,0.023183,0.009560,0.000179,0.047860,-0.013820,-0.006661,0.008538,0.018917,-0.041904,0.039463,0.037630,0.027004,-0.031246,-0.016232,-0.020095,0.013215,0.009848,0.021350,-0.032581,0.045019,0.001653,0.009674,0.004872,-0.002674,0.006666,0.022982,0.013582,0.018889,0.043522,0.000268,-0.018099,0.031253,-0.039500,0.012237,-0.035571,-0.005388,0.037964,-0.025886,0.013048,0.028596,0.046058,-0.054453,-0.014585,0.015156,0.054866,0.019364,0.015017,0.026015
15,Gordon setter,0,0.025838,0.039370,0.038694,-0.031223,0.003115,0.073156,0.019681,0.014605,-0.041845,0.004189,-0.032783,0.059198,-0.008252,0.194920,0.234700,1.000000,0.041835,-0.020433,0.376348,0.042373,-0.035859,-0.005193,0.210294,0.094186,0.013313,0.066584,-0.008615,0.052687,0.081069,0.010537,0.047465,0.043087,-0.017155,0.054403,0.023887,-0.015786,0.000549,0.019049,-0.010067,0.053072,-0.017419,0.012793,0.025374,-0.031551,-0.034048,-0.005468,-0.003659,-0.023535,0.046289,-0.008774,-0.019691,0.027075,-0.033743,0.061809,0.009380,0.012497,-0.009461,-0.010223,-0.021913,-0.040812,-0.013871,-0.012019,0.029959,0.017213,0.047722,-0.041029,-0.023591,-0.037731,-0.027607,0.003113,0.025397,0.049559,-0.008174,0.051144,0.053186,0.014229,-0.029212,0.020862,0.028142,0.050819,-0.012111,0.012693,0.021325,-0.011122,0.019869,0.012256,-0.010574,0.001003,0.041978,0.016801,0.012454,-0.013252,-0.052871,-0.023340,0.015618,0.012387,0.046434,0.037071,0.044409,0.044203
16,komondor,0,0.078998,0.047480,0.023517,0.040856,0.043084,0.049026,0.067287,0.014775,0.025541,0.070548,0.092051,0.001775,0.023111,0.039507,0.000713,0.041835,1.000000,0.052714,0.069902,0.041160,0.024898,0.021802,0.138598,0.139386,0.111958,0.035586,0.041591,0.064138,-0.014129,0.000166,0.033967,-0.026014,0.027376,0.013863,-0.023242,0.002953,0.041982,0.027319,0.000630,0.075031,0.038694,0.032649,-0.004465,-0.000371,0.028694,0.014594,0.011017,-0.009350,-0.018835,-0.034285,0.064048,-0.007870,-0.034594,-0.004153,0.007353,0.016372,-0.034893,-0.002913,-0.000145,-0.042358,-0.030052,0.005071,0.044074,0.037110,0.032190,-0.076286,0.049850,0.003906,-0.035090,0.023393,0.027983,0.131363,0.048043,0.006660,0.040772,0.026336,-0.047225,0.003099,-0.000939,0.060710,0.026419,0.010710,0.098055,0.005462,0.044355,-0.022273,0.003446,0.031193,0.041952,0.030468,-0.012159,-0.010279,-0.049625,0.006794,-0.014959,-0.007329,0.030193,0.040686,0.009623,0.048857
17,boxer,0,0.009132,0.069690,0.007539,-0.016474,0.089288,0.086890,0.043966,0.019493,0.058985,0.015598,0.060069,0.165952,0.146819,0.062404,-0.031543,-0.020433,0.052714,1.000000,0.023794,0.406132,0.010929,0.127761,0.048116,0.009045,0.022093,-0.008138,-0.024992,0.063781,0.025387,0.063040,0.000342,-0.012087,0.003472,0.023830,0.002986,-0.001708,0.016723,0.040483,0.028405,0.023539,0.044589,0.037193,-0.039411,0.008973,-0.036780,0.055912,-0.125319,-0.000774,-0.027965,-0.003028,0.010178,-0.025277,-0.005663,-0.001884,-0.012205,-0.004522,0.099707,-0.044551,0.026444,0.010275,0.015835,-0.038726,0.013034,0.056068,0.023803,-0.016597,-0.022063,-0.007231,0.001998,-0.048141,0.059208,0.006488,0.004489,-0.024713,0.057091,0.086676,0.009990,0.044539,0.009781,0.034400,0.023695,-0.030663,-0.011475,-0.021569,-0.002521,0.033000,-0.018926,-0.065702,0.015386,-0.007399,-0.047675,-0.024122,0.011611,0.048193,0.005465,0.040553,0.005881,0.006278,0.012850,-0.008295
18,Tibetan mastiff,0,0.004621,0.081675,0.033317,0.039815,0.030216,0.036930,0.073691,0.045546,-0.014240,-0.012417,-0.026301,-0.042536,-0.087998,0.000257,0.231108,0.376348,0.069902,0.023794,1.000000,0.037433,0.206937,-0.043829,0.686971,0.010839,0.143968,0.102313,0.078500,0.128491,0.041706,0.003856,-0.006669,0.068077,0.037098,-0.009601,0.031355,0.063426,-0.032229,0.020728,-0.015475,0.000892,-0.011309,0.018701,-0.010198,-0.051336,-0.016841,-0.009036,-0.078749,-0.021447,0.000664,-0.074602,-0.002926,0.007719,0.020299,0.006711,0.006737,0.013439,0.009460,-0.008686,-0.066255,0.000791,0.040214,-0.004592,-0.002499,-0.011231,-0.019348,-0.011691,-0.009759,-0.024834,-0.000812,-0.015885,0.039188,0.009243,0.022127,0.008735,-0.000962,-0.006488,-0.006565,-0.045373,0.018849,0.011983,0.020331,-0.025662,0.047950,-0.012103,0.005902,0.019495,0.011222,-0.040006,-0.002959,-0.012870,0.016019,-0.058070,0.013553,0.017457,0.050125,0.000687,0.048900,-0.005908,0.078766,0.002669
19,French bulldog,0,0.026256,0.012556,0.046239,-0.067572,0.008233,0.080300,0.010390,0.024972,-0.002297,0.004782,0.043016,0.044199,0.033628,-0.040526,0.021288,0.042373,0.041160,0.406132,0.037433,1.000000,0.021085,0.033924,0.022200,0.038361,0.022699,0.045938,0.001265,0.040825,-0.008295,0.049465,0.058263,0.038217,0.013235,-0.024137,0.068648,0.002149,-0.005639,-0.005405,0.036367,0.011103,0.039501,0.042113,-0.024835,0.013027,-0.011744,0.026755,-0.041809,0.032662,-0.025514,0.004241,-0.030853,0.010920,0.010469,0.002013,-0.004526,0.024143,0.037126,0.003237,-0.031811,0.019458,-0.027098,0.000668,-0.011389,0.071537,0.009116,0.050437,0.018535,0.014687,0.030942,0.021778,0.048487,0.022114,0.006845,-0.011881,0.149659,0.043707,0.010508,0.039301,0.030460,0.018806,0.055669,0.023648,0.039791,-0.062108,-0.040770,-0.001668,-0.059959,-0.020422,0.023712,-0.015464,-0.021044,-0.040328,0.008997,0.042199,0.017308,0.036390,0.003816,0.026749,0.004543,0.030332
