dataset: CIFAR100
train_cfg: configs/trainers/bimc_ensemble.yaml
mode: astar
runtime_sec: 46.852
baseline_acc: 73.24
method_acc: 72.77
method_gain: -0.47
oracle_gain: 1.05
recovery_rate: -0.4476
recommendation: kill_direction
best_val_episode_acc: 0.7692
best_val_episode_nll: 2.471858
test_class_balanced_nll: 4.527371
test_class_balanced_margin: 0.015701
changed_class_rate: 1.0
base_atom_usage_rate: 0.0
desc_atom_usage_rate: 1.0
baseline_alignment_gap: 0.715326
method_alignment_gap: 0.705031
