dataset,intro_session,baseline_mean_class_acc,final_mean_class_acc,gain,class_count
cub200,0,87.9,87.73,-0.17,100
cub200,1,72.053,77.719,5.667,10
cub200,2,75.977,76.011,0.034,10
cub200,3,73.414,75.103,1.69,10
cub200,4,87.0,89.667,2.667,10
cub200,5,64.046,63.046,-1.0,10
cub200,6,90.885,90.731,-0.154,10
cub200,7,89.264,88.908,-0.356,10
cub200,8,84.927,86.989,2.063,10
cub200,9,96.31,96.31,0.0,10
cub200,10,92.0,92.667,0.667,10
