class_id,class_name,intro_session,0:apple,1:aquarium fish,2:baby,3:bear,4:beaver,5:bed,6:bee,7:beetle,8:bicycle,9:bottle,10:bowl,11:boy,12:bridge,13:bus,14:butterfly,15:camel,16:can,17:castle,18:caterpillar,19:cattle,20:chair,21:chimpanzee,22:clock,23:cloud,24:cockroach,25:couch,26:crab,27:crocodile,28:cup,29:dinosaur,30:dolphin,31:elephant,32:flatfish,33:forest,34:fox,35:girl,36:hamster,37:house,38:kangaroo,39:keyboard,40:lamp,41:lawn mower,42:leopard,43:lion,44:lizard,45:lobster,46:man,47:maple tree,48:motorcycle,49:mountain,50:mouse,51:mushroom,52:oak tree,53:orange,54:orchid,55:otter,56:palm tree,57:pear,58:pickup truck,59:pine tree,60:plain,61:plate,62:poppy,63:porcupine,64:possum,65:rabbit,66:raccoon,67:ray,68:road,69:rocket,70:rose,71:sea,72:seal,73:shark,74:shrew,75:skunk,76:skyscraper,77:snail,78:snake,79:spider,80:squirrel,81:streetcar,82:sunflower,83:sweet pepper,84:table,85:tank,86:telephone,87:television,88:tiger,89:tractor,90:train,91:trout,92:tulip,93:turtle,94:wardrobe,95:whale,96:willow tree,97:wolf,98:woman,99:worm
15,camel,0,0.893416,0.910324,0.921629,0.953136,0.947385,0.880589,0.924683,0.916891,0.912078,0.891630,0.915564,0.929246,0.909907,0.900364,0.922860,1.000000,0.908208,0.886827,0.925419,0.953008,0.854751,0.946519,0.912441,0.914420,0.891814,0.904843,0.937458,0.944574,0.899024,0.959495,0.915974,0.960612,0.942574,0.924446,0.943583,0.923274,0.905391,0.896153,0.962073,0.915827,0.920148,0.885524,0.958884,0.958031,0.942122,0.939641,0.931249,0.916946,0.895747,0.922064,0.932889,0.929862,0.919159,0.897671,0.913540,0.951240,0.934534,0.904944,0.899344,0.931296,0.864109,0.893812,0.881258,0.924907,0.931967,0.926116,0.921058,0.939679,0.899967,0.894952,0.904873,0.885042,0.940563,0.917263,0.927199,0.911296,0.884484,0.916881,0.908170,0.909286,0.939963,0.895268,0.909119,0.895571,0.906745,0.897039,0.891570,0.868391,0.943005,0.905873,0.871533,0.866118,0.908310,0.937302,0.887239,0.913902,0.914673,0.942862,0.888356,0.890647
16,can,0,0.918634,0.902255,0.907131,0.906324,0.912267,0.911851,0.912238,0.912215,0.922832,0.968690,0.962496,0.916701,0.910072,0.905915,0.913973,0.908208,1.000000,0.879454,0.927367,0.901475,0.893874,0.905018,0.945081,0.911233,0.889277,0.936113,0.927291,0.917379,0.950561,0.914297,0.883599,0.898908,0.941814,0.912725,0.891651,0.908383,0.878096,0.902399,0.899729,0.945419,0.955321,0.918096,0.911499,0.898248,0.915963,0.941162,0.922635,0.913129,0.908839,0.903140,0.909888,0.924951,0.910066,0.923272,0.914414,0.918032,0.919455,0.926386,0.909816,0.920180,0.846295,0.943309,0.886301,0.882156,0.894402,0.893800,0.878035,0.916255,0.892194,0.915294,0.905878,0.875857,0.889181,0.890818,0.892990,0.922636,0.875715,0.913981,0.886384,0.894522,0.909882,0.891660,0.905634,0.933735,0.933132,0.897384,0.937341,0.911681,0.897473,0.900210,0.869923,0.870295,0.910513,0.909509,0.931404,0.895232,0.904425,0.899093,0.880893,0.901979
17,castle,0,0.865806,0.851485,0.872317,0.883210,0.885142,0.892751,0.879744,0.862623,0.890563,0.868722,0.895935,0.879835,0.952358,0.903269,0.878745,0.886827,0.879454,1.000000,0.886825,0.885445,0.850243,0.874493,0.902945,0.918424,0.831947,0.904368,0.881098,0.892976,0.897827,0.877115,0.862134,0.883279,0.898402,0.920140,0.866251,0.878974,0.821949,0.954174,0.886905,0.912954,0.909252,0.854784,0.895013,0.873590,0.875078,0.895628,0.902149,0.935230,0.861192,0.923371,0.866923,0.899354,0.943236,0.859408,0.893962,0.887923,0.922528,0.867643,0.867783,0.934081,0.888341,0.884311,0.869530,0.852134,0.864819,0.863861,0.841995,0.896251,0.925058,0.878239,0.888544,0.902832,0.854991,0.868857,0.860074,0.859697,0.917260,0.878226,0.857476,0.857541,0.897750,0.897295,0.895779,0.863898,0.906495,0.874792,0.873450,0.850517,0.871825,0.883720,0.891376,0.835457,0.897289,0.890705,0.895921,0.875948,0.933079,0.872583,0.841523,0.849612
18,caterpillar,0,0.928801,0.948705,0.913743,0.937691,0.957980,0.890223,0.967804,0.971420,0.914418,0.910057,0.945685,0.917812,0.913746,0.895441,0.979610,0.925419,0.927367,0.886825,1.000000,0.926462,0.867641,0.934160,0.925545,0.934458,0.939029,0.914767,0.962842,0.964993,0.922060,0.953912,0.917540,0.930463,0.962712,0.947179,0.930430,0.914508,0.913546,0.905300,0.937829,0.938456,0.940825,0.899806,0.950196,0.926381,0.974032,0.963874,0.918372,0.937296,0.892269,0.918259,0.956179,0.966920,0.933335,0.926326,0.952710,0.960815,0.939571,0.941478,0.887800,0.946244,0.858484,0.921661,0.927620,0.939684,0.941445,0.936005,0.915148,0.952910,0.902891,0.905508,0.933517,0.894812,0.929131,0.932844,0.952173,0.941571,0.868083,0.957572,0.955951,0.957478,0.950125,0.890607,0.938438,0.928170,0.921741,0.904852,0.913026,0.879493,0.926506,0.910928,0.877140,0.917727,0.944314,0.952468,0.911171,0.927892,0.939961,0.928683,0.879411,0.958122
19,cattle,0,0.899035,0.909960,0.910025,0.953267,0.944496,0.874206,0.921604,0.920006,0.909243,0.883644,0.909237,0.914048,0.907213,0.897402,0.924990,0.953008,0.901475,0.885445,0.926462,1.000000,0.853686,0.930619,0.904252,0.904572,0.897617,0.898517,0.927092,0.937130,0.893316,0.932055,0.904330,0.954660,0.940952,0.920887,0.936175,0.907407,0.901711,0.903931,0.954169,0.909661,0.908662,0.893045,0.946091,0.937745,0.927155,0.928792,0.920542,0.919201,0.893116,0.907328,0.932418,0.927519,0.923407,0.893119,0.905844,0.942900,0.916086,0.901889,0.905083,0.925874,0.864020,0.888974,0.877845,0.918473,0.927213,0.934407,0.917785,0.931764,0.899225,0.881565,0.891966,0.873436,0.926820,0.914243,0.923389,0.913169,0.869767,0.915092,0.907415,0.900151,0.929780,0.881321,0.902253,0.896378,0.901684,0.887924,0.887603,0.861993,0.931740,0.908806,0.874898,0.875453,0.903724,0.932519,0.880442,0.907101,0.917379,0.929853,0.866032,0.884877
20,chair,0,0.862707,0.842443,0.856439,0.850888,0.852154,0.937735,0.853600,0.852646,0.895646,0.883074,0.912807,0.862219,0.869850,0.873358,0.864005,0.854751,0.893874,0.850243,0.867641,0.853686,1.000000,0.844564,0.899414,0.851117,0.841118,0.961178,0.869481,0.851815,0.914427,0.865149,0.835340,0.846250,0.877597,0.864007,0.841471,0.856711,0.812962,0.884481,0.849426,0.895582,0.929953,0.902743,0.853922,0.840095,0.857839,0.876265,0.872207,0.876108,0.883313,0.855444,0.847552,0.871976,0.875218,0.856376,0.868270,0.857960,0.877282,0.866458,0.877743,0.878421,0.787743,0.893628,0.829419,0.825965,0.834068,0.837538,0.810697,0.857846,0.842937,0.842468,0.863118,0.820543,0.830626,0.842776,0.830080,0.861240,0.836652,0.850889,0.833494,0.847349,0.855100,0.841479,0.850657,0.867848,0.937266,0.845725,0.904817,0.895303,0.838314,0.842200,0.825926,0.813239,0.860463,0.860970,0.920343,0.845478,0.862199,0.839582,0.836864,0.841778
21,chimpanzee,0,0.905247,0.929776,0.932769,0.965104,0.963239,0.869111,0.934558,0.926963,0.905163,0.880988,0.914833,0.944436,0.900957,0.880018,0.931571,0.946519,0.905018,0.874493,0.934160,0.930619,0.844564,1.000000,0.912617,0.913556,0.893387,0.896604,0.944308,0.953041,0.893369,0.948500,0.916583,0.954930,0.951005,0.931011,0.939345,0.934102,0.924900,0.887938,0.945277,0.923418,0.915805,0.872344,0.956940,0.952226,0.947546,0.947515,0.943598,0.914157,0.895149,0.908426,0.948514,0.935106,0.914092,0.900370,0.913854,0.962029,0.925732,0.913486,0.877101,0.925892,0.837701,0.892079,0.880746,0.935479,0.943337,0.926020,0.938401,0.946200,0.888810,0.891631,0.904787,0.879862,0.945270,0.922274,0.949199,0.930941,0.866315,0.925663,0.923080,0.916957,0.958217,0.887131,0.911541,0.896884,0.902617,0.884740,0.888794,0.865966,0.941982,0.892646,0.859380,0.881026,0.913547,0.938115,0.883590,0.919307,0.911659,0.948839,0.897979,0.905858
22,clock,0,0.921330,0.905140,0.914533,0.913110,0.915335,0.913614,0.918146,0.909808,0.927432,0.918796,0.957703,0.923624,0.927034,0.909890,0.922796,0.912441,0.945081,0.902945,0.925545,0.904252,0.899414,0.912617,1.000000,0.928374,0.890049,0.938244,0.932792,0.919247,0.946520,0.919658,0.893970,0.901063,0.942142,0.920001,0.898841,0.916855,0.881285,0.914946,0.905891,0.956391,0.962125,0.905573,0.916827,0.903718,0.917216,0.941031,0.934938,0.926075,0.904826,0.914697,0.912829,0.925831,0.921485,0.913148,0.925220,0.922116,0.926517,0.919789,0.898197,0.928761,0.857983,0.951020,0.900609,0.882594,0.899680,0.899730,0.881891,0.925831,0.906006,0.916539,0.918217,0.892071,0.894569,0.903383,0.896010,0.919321,0.897952,0.911722,0.891005,0.905888,0.916230,0.903176,0.919600,0.915737,0.939360,0.896009,0.939561,0.920763,0.903725,0.899625,0.887971,0.866666,0.929273,0.915424,0.937590,0.906527,0.914302,0.905013,0.883913,0.907242
23,cloud,0,0.900213,0.901005,0.901914,0.920266,0.926006,0.889066,0.920335,0.904864,0.912050,0.894043,0.923125,0.910060,0.951783,0.895935,0.923590,0.914420,0.911233,0.918424,0.934458,0.904572,0.851117,0.913556,0.928374,1.000000,0.871083,0.913727,0.920463,0.940605,0.914423,0.911503,0.910624,0.911862,0.941080,0.960658,0.903006,0.907633,0.864779,0.923863,0.914185,0.947875,0.936940,0.869798,0.924333,0.906170,0.921521,0.931725,0.922537,0.953710,0.876094,0.960150,0.908812,0.934405,0.951328,0.896859,0.932633,0.934864,0.949049,0.902962,0.879219,0.963921,0.931577,0.905907,0.915283,0.893665,0.897566,0.909681,0.890716,0.946637,0.954797,0.924129,0.924842,0.968358,0.903782,0.911019,0.898065,0.908413,0.909435,0.926667,0.899603,0.907459,0.924017,0.905401,0.938018,0.885956,0.914650,0.888220,0.891422,0.875319,0.896157,0.905980,0.886386,0.872761,0.929430,0.918175,0.918123,0.925366,0.953440,0.908894,0.867078,0.913000
24,cockroach,0,0.897657,0.908596,0.870969,0.897720,0.915731,0.845139,0.946043,0.978567,0.865853,0.873180,0.899758,0.878601,0.855793,0.854747,0.934543,0.891814,0.889277,0.831947,0.939029,0.897617,0.841118,0.893387,0.890049,0.871083,1.000000,0.869448,0.945988,0.909516,0.877060,0.918138,0.876336,0.885125,0.921959,0.876498,0.891806,0.871017,0.893921,0.848619,0.900707,0.890319,0.900801,0.864244,0.890530,0.872151,0.932707,0.928910,0.877778,0.874138,0.852555,0.857356,0.932218,0.918064,0.870650,0.885411,0.894476,0.915868,0.875728,0.904916,0.841187,0.881646,0.794952,0.872373,0.880111,0.891691,0.910076,0.898768,0.883840,0.902390,0.841959,0.868847,0.870156,0.833929,0.889308,0.891055,0.907306,0.905328,0.832767,0.916946,0.893105,0.954449,0.893128,0.846002,0.881581,0.886089,0.874809,0.865945,0.875410,0.840419,0.875438,0.859138,0.823816,0.859519,0.888123,0.912355,0.866789,0.890118,0.867206,0.877830,0.844732,0.907944
