class_id,class_name,intro_session,0:apple,1:aquarium fish,2:baby,3:bear,4:beaver,5:bed,6:bee,7:beetle,8:bicycle,9:bottle,10:bowl,11:boy,12:bridge,13:bus,14:butterfly,15:camel,16:can,17:castle,18:caterpillar,19:cattle,20:chair,21:chimpanzee,22:clock,23:cloud,24:cockroach,25:couch,26:crab,27:crocodile,28:cup,29:dinosaur,30:dolphin,31:elephant,32:flatfish,33:forest,34:fox,35:girl,36:hamster,37:house,38:kangaroo,39:keyboard,40:lamp,41:lawn mower,42:leopard,43:lion,44:lizard,45:lobster,46:man,47:maple tree,48:motorcycle,49:mountain,50:mouse,51:mushroom,52:oak tree,53:orange,54:orchid,55:otter,56:palm tree,57:pear,58:pickup truck,59:pine tree,60:plain,61:plate,62:poppy,63:porcupine,64:possum,65:rabbit,66:raccoon,67:ray,68:road,69:rocket,70:rose,71:sea,72:seal,73:shark,74:shrew,75:skunk,76:skyscraper,77:snail,78:snake,79:spider,80:squirrel,81:streetcar,82:sunflower,83:sweet pepper,84:table,85:tank,86:telephone,87:television,88:tiger,89:tractor,90:train,91:trout,92:tulip,93:turtle,94:wardrobe,95:whale,96:willow tree,97:wolf,98:woman,99:worm
72,seal,3,0.064709,0.142766,0.050626,0.387394,0.469449,0.056335,0.119158,0.150098,0.035216,0.047239,0.113777,0.065217,0.126199,0.082687,0.149079,0.174471,0.077455,0.142308,0.166273,0.096685,0.070743,0.142521,0.083696,0.121154,0.091683,0.042904,0.145732,0.316279,0.061892,0.149915,0.176132,0.151252,0.238664,0.177456,0.198874,0.055068,0.118050,0.066961,0.182831,0.051252,0.015625,0.081437,0.199668,0.176361,0.181607,0.154636,0.064343,0.090158,0.063157,0.197520,0.195399,0.162815,0.075991,0.035090,0.035935,0.574041,0.112711,0.131683,0.050455,0.138982,0.093464,0.096577,0.105223,0.352200,0.151917,0.230804,0.244708,0.206470,0.060300,0.073761,0.094080,0.149510,1.000000,0.147761,0.242248,0.177572,0.054835,0.183902,0.099908,0.103372,0.275666,0.063562,0.097847,0.061204,0.086075,0.117427,0.036266,0.033614,0.122624,0.071001,0.110714,0.115842,0.054416,0.234678,0.025234,0.248350,0.144038,0.199340,0.040904,0.158013
73,shark,3,0.060845,0.276860,0.065710,0.141085,0.147668,0.074715,0.136071,0.101767,0.036358,0.063991,0.073080,0.100356,0.065154,0.056973,0.082556,0.093709,0.064777,0.047079,0.092686,0.057407,0.052775,0.093645,0.072364,0.137108,0.078786,0.100940,0.114387,0.305075,0.079691,0.167794,0.513624,0.054599,0.222281,0.069043,0.067787,0.079439,0.040887,0.044617,0.120875,0.021421,0.094748,0.041612,0.090667,0.082592,0.249342,0.155125,0.108582,0.021677,0.031372,0.096497,0.110348,0.072154,0.021585,0.032308,0.069550,0.271380,0.067306,0.094829,0.112787,0.049973,0.094425,0.063496,0.063103,0.157551,0.068194,0.117321,0.099368,0.568198,0.021927,0.086575,0.074075,0.137678,0.147761,1.000000,0.099127,0.106736,0.048231,0.029393,0.117809,0.019656,0.111683,0.023285,0.077757,0.025976,0.071188,0.067556,0.014976,0.091313,0.058567,0.038170,0.039914,0.205122,0.082253,0.303527,0.048602,0.440609,0.038997,0.104176,0.080995,0.163577
74,shrew,3,0.091485,0.144013,0.070468,0.281793,0.522785,0.013118,0.172746,0.259278,0.129791,0.051166,0.161860,0.117136,0.091679,0.079899,0.221817,0.085413,0.072090,0.118923,0.205970,0.097951,0.086932,0.214864,0.051842,0.116453,0.138663,0.089921,0.222498,0.327644,0.071300,0.273998,0.133278,0.133101,0.243155,0.278889,0.219343,0.121463,0.427407,0.130286,0.292091,0.062152,0.052803,0.018143,0.285887,0.129986,0.306834,0.209890,0.108406,0.114410,0.092565,0.143146,0.746571,0.305879,0.083397,0.087897,0.095005,0.448519,0.101368,0.146900,0.064398,0.143938,0.057962,0.139941,0.042488,0.536865,0.633929,0.346696,0.394070,0.238042,0.076971,0.042134,0.118232,0.128305,0.242248,0.099127,1.000000,0.208047,0.110527,0.317943,0.215867,0.195107,0.346341,0.137752,0.081512,0.091266,0.069602,0.064712,0.065992,0.014115,0.183499,0.082131,0.089495,0.208438,0.048419,0.167297,0.007912,0.195225,0.152348,0.272499,0.061237,0.239258
75,skunk,4,0.136532,0.111117,0.287296,0.321179,0.301516,0.216358,0.189014,0.275180,0.193104,0.165136,0.278278,0.327719,0.212830,0.228923,0.296946,0.145070,0.197250,0.249681,0.267787,0.173735,0.143361,0.205926,0.197010,0.242298,0.168760,0.215641,0.177932,0.240358,0.128927,0.262634,0.184534,0.162624,0.251844,0.266831,0.137933,0.308359,0.211491,0.319274,0.177477,0.136146,0.302287,0.185101,0.157161,0.144077,0.258832,0.244335,0.265035,0.239124,0.205953,0.210206,0.245900,0.206371,0.221255,0.117851,0.129281,0.394292,0.169716,0.148987,0.208154,0.300711,0.169678,0.217102,0.016187,0.249834,0.198557,0.388892,0.247894,0.275107,0.171174,0.167133,0.188611,0.163859,0.177572,0.106736,0.208047,1.000000,0.150811,0.272804,0.147033,0.209784,0.272884,0.209061,0.075963,0.153769,0.227700,0.186475,0.126495,0.183652,0.114641,0.172894,0.086419,0.203299,0.118607,0.186981,0.121285,0.294079,0.218018,0.101984,0.138525,0.310418
76,skyscraper,4,0.124706,0.120920,0.121798,0.130038,0.151168,0.061902,0.088093,0.122987,0.163586,0.160701,0.134596,0.197295,0.316440,0.222981,0.173447,0.072213,0.148385,0.299405,0.123829,0.083734,0.123546,0.074862,0.144914,0.359815,0.072989,0.130962,0.142039,0.125735,0.073346,0.156770,0.079540,0.092278,0.144079,0.240330,0.101995,0.201948,0.091041,0.310891,0.129874,0.115544,0.246101,0.104152,0.120075,0.064446,0.135978,0.162604,0.267537,0.332548,0.136440,0.247036,0.099096,0.088660,0.288750,0.125293,0.060785,0.183690,0.245347,0.132527,0.159809,0.310877,0.223359,0.148900,0.049566,0.117017,0.072329,0.144638,0.122877,0.105381,0.223016,0.168765,0.186838,0.260279,0.054835,0.048231,0.110527,0.150811,1.000000,0.099738,0.095068,0.173551,0.096681,0.213458,0.047847,0.076999,0.105134,0.160919,0.102580,0.215920,0.099182,0.160769,0.151512,0.143356,0.077894,0.058549,0.129151,0.148353,0.257456,0.087622,0.128256,0.115562
77,snail,4,0.183783,0.123543,0.114934,0.161527,0.337361,0.061582,0.220742,0.349756,0.101576,0.076966,0.211667,0.141720,0.106380,0.070187,0.256453,0.089279,0.143268,0.143315,0.281866,0.087810,0.022090,0.166953,0.115137,0.156763,0.198841,0.048602,0.288653,0.264841,0.080889,0.124061,0.062036,0.101875,0.256882,0.205823,0.097380,0.128497,0.192838,0.136438,0.115989,0.075084,0.148095,0.077225,0.156734,0.127969,0.336674,0.295150,0.088130,0.109835,0.074597,0.129590,0.303371,0.340896,0.127173,0.111647,0.042373,0.349744,0.109762,0.166976,0.088602,0.167627,0.133165,0.159259,0.084700,0.283567,0.228838,0.225906,0.110896,0.195165,0.158880,0.084899,0.126122,0.106065,0.183902,0.029393,0.317943,0.272804,0.099738,1.000000,0.274186,0.312422,0.283565,0.087824,0.056928,0.085964,0.106167,0.119837,0.117292,0.062502,0.082034,0.137330,0.070246,0.190359,0.106798,0.338971,0.008339,0.142343,0.153372,0.045873,0.062504,0.337537
78,snake,4,0.147084,0.089454,0.064177,0.120457,0.177612,0.059768,0.099053,0.225672,0.143551,0.112594,0.109187,0.083789,0.094392,0.118698,0.196867,0.045312,0.093887,0.126253,0.269872,0.106284,0.093584,0.124459,0.125994,0.095069,0.156597,0.073439,0.197145,0.183976,0.058094,0.085209,0.112548,0.086184,0.124959,0.193184,0.047416,0.068899,0.117525,0.117739,0.082124,0.057407,0.073465,0.047756,0.109238,0.084149,0.274621,0.199749,0.087776,0.115800,0.087730,0.129395,0.188967,0.189823,0.133493,0.066398,0.078346,0.220165,0.087071,0.077836,0.152971,0.162159,0.113964,0.072384,0.086446,0.081424,0.129755,0.159493,0.065715,0.204917,0.150133,0.059363,0.113334,0.081487,0.099908,0.117809,0.215867,0.147033,0.095068,0.274186,1.000000,0.148813,0.177180,0.106836,0.003571,0.052785,0.066037,0.128658,0.107973,0.088910,0.086214,0.104490,0.114736,0.184231,0.117203,0.135165,0.030461,0.115164,0.165400,0.066986,0.079718,0.508395
79,spider,4,0.126691,0.160154,0.126633,0.112032,0.182610,0.040472,0.236094,0.449606,0.228559,0.121849,0.247863,0.169127,0.108036,0.126847,0.278573,0.108542,0.139280,0.125087,0.259052,0.106523,0.166276,0.042833,0.154162,0.205884,0.441652,0.087914,0.426669,0.157544,0.172188,0.194653,0.067904,0.031462,0.207441,0.156450,0.104025,0.160468,0.168390,0.193676,0.137224,0.111022,0.166864,0.124349,0.081021,0.116363,0.291935,0.409505,0.163550,0.143438,0.122798,0.141329,0.242427,0.207564,0.122866,0.084749,0.157036,0.215804,0.138667,0.204043,0.145205,0.172358,0.131198,0.155104,0.064225,0.142863,0.156380,0.211040,0.160288,0.181820,0.120355,0.120962,0.222927,0.125273,0.103372,0.019656,0.195107,0.209784,0.173551,0.312422,0.148813,1.000000,0.136488,0.075227,0.086674,0.097876,0.147937,0.136684,0.110341,0.123025,0.128880,0.105391,0.039785,0.131460,0.143880,0.153533,0.126495,0.157822,0.087518,0.109406,0.130738,0.301230
80,squirrel,5,0.036835,0.098504,0.223614,0.305264,0.405048,0.044141,0.151564,0.171030,0.103257,0.097116,0.112623,0.211434,0.133052,0.086808,0.171324,0.168480,0.115839,0.210617,0.202687,0.120309,0.062059,0.210578,0.088964,0.168749,0.110718,0.137542,0.160635,0.327757,0.009939,0.251912,0.122962,0.162928,0.251372,0.300104,0.225085,0.198691,0.252527,0.229131,0.332632,0.042866,0.113808,0.056019,0.317402,0.205995,0.299443,0.184968,0.185460,0.191489,0.074033,0.159244,0.351899,0.161862,0.175474,0.031124,0.040625,0.413333,0.141219,0.119586,0.107453,0.243833,0.156630,0.091824,0.064089,0.305509,0.409793,0.342579,0.287250,0.209056,0.164153,0.081182,0.112007,0.156867,0.275666,0.111683,0.346341,0.272884,0.096681,0.283565,0.177180,0.136488,1.000000,0.069595,0.094477,0.068110,0.149217,0.125575,0.008197,0.079261,0.139773,0.153215,0.087942,0.140637,0.047157,0.244851,0.072182,0.147832,0.173039,0.300746,0.122945,0.212441
81,streetcar,5,0.117613,0.104535,0.121216,0.113397,0.059584,0.077685,0.095177,0.163114,0.197576,0.097479,0.095255,0.181982,0.203548,0.548913,0.136108,0.065247,0.162105,0.271367,0.110468,0.102995,0.055568,0.035087,0.134126,0.193389,0.084133,0.136726,0.109956,0.123811,0.066361,0.168010,0.053757,0.138418,0.140012,0.269115,0.060095,0.190364,0.047552,0.254551,0.100806,0.094895,0.164436,0.137910,0.061954,0.048089,0.115932,0.135191,0.190197,0.272906,0.200894,0.158561,0.097953,0.128489,0.249324,0.068361,0.072279,0.108872,0.198648,0.089146,0.206217,0.248067,0.160580,0.113071,0.078828,0.090262,0.064307,0.137623,0.087315,0.062246,0.241433,0.083199,0.106697,0.118441,0.063562,0.023285,0.137752,0.209061,0.213458,0.087824,0.106836,0.075227,0.069595,1.000000,0.109360,0.090195,0.104876,0.158531,0.135062,0.090113,0.015388,0.165400,0.442530,0.121247,0.057992,0.095539,0.103322,0.124422,0.177066,0.079490,0.114341,0.068021
