dataset: CIFAR100
train_cfg: configs/trainers/bimc_ensemble.yaml
mode: bmvc
runtime_sec: 53.548
baseline_acc: 73.24
method_acc: 68.59
method_gain: -4.65
oracle_gain: 1.05
recovery_rate: -4.4286
recommendation: kill_direction
best_val_oracle_match: 0.2
best_val_loss: 62.764478
test_class_balanced_nll: 4.525664
test_class_balanced_margin: 0.013219
changed_class_rate: 1.0
base_atom_usage_rate: 0.0
desc_atom_usage_rate: 1.0
baseline_alignment_gap: 0.715326
method_alignment_gap: 0.74177
