phase	dataset	seed	status	start	end	duration_sec	log	results_json	params
dino_visual_only	cub200	7	OK	2026-05-11 21:46:04 +06	2026-05-11 21:50:27 +06	263	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed7.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed7_20260511-214607/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	8	OK	2026-05-11 21:50:27 +06	2026-05-11 21:58:31 +06	484	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed8.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed8_20260511-215031/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	8	OK	2026-05-11 21:58:31 +06	2026-05-11 22:06:39 +06	488	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed8.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed8_20260511-215834/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	8	OK	2026-05-11 22:06:39 +06	2026-05-11 22:11:02 +06	263	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed8.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed8_20260511-220642/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	9	OK	2026-05-11 22:11:02 +06	2026-05-11 22:19:06 +06	484	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed9.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed9_20260511-221106/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	9	OK	2026-05-11 22:19:06 +06	2026-05-11 22:27:14 +06	488	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed9.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed9_20260511-221910/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	9	OK	2026-05-11 22:27:14 +06	2026-05-11 22:31:37 +06	263	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed9.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed9_20260511-222717/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	10	OK	2026-05-11 22:31:37 +06	2026-05-11 22:39:42 +06	485	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed10.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed10_20260511-223141/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	10	OK	2026-05-11 22:39:42 +06	2026-05-11 22:47:49 +06	487	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed10.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed10_20260511-223945/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	10	OK	2026-05-11 22:47:49 +06	2026-05-11 22:52:13 +06	264	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed10.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed10_20260511-224753/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	11	OK	2026-05-11 22:52:13 +06	2026-05-11 23:00:16 +06	483	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed11.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed11_20260511-225217/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	11	OK	2026-05-11 23:00:16 +06	2026-05-11 23:08:24 +06	488	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed11.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed11_20260511-230020/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	11	OK	2026-05-11 23:08:24 +06	2026-05-11 23:12:47 +06	263	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed11.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed11_20260511-230827/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	12	OK	2026-05-11 23:12:47 +06	2026-05-11 23:20:51 +06	484	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed12.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed12_20260511-231251/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	12	OK	2026-05-11 23:20:51 +06	2026-05-11 23:28:59 +06	488	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed12.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed12_20260511-232054/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	12	OK	2026-05-11 23:28:59 +06	2026-05-11 23:33:22 +06	263	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed12.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed12_20260511-232902/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	13	OK	2026-05-11 23:33:22 +06	2026-05-11 23:41:26 +06	484	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed13.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed13_20260511-233326/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	13	OK	2026-05-11 23:41:26 +06	2026-05-11 23:49:35 +06	489	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed13.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed13_20260511-234130/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	13	OK	2026-05-11 23:49:35 +06	2026-05-11 23:53:58 +06	263	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed13.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed13_20260511-234938/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	14	OK	2026-05-11 23:53:58 +06	2026-05-12 00:02:02 +06	484	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed14.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed14_20260511-235402/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	14	OK	2026-05-12 00:02:02 +06	2026-05-12 00:10:11 +06	489	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed14.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed14_20260512-000206/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	14	OK	2026-05-12 00:10:11 +06	2026-05-12 00:14:33 +06	262	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed14.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed14_20260512-001014/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	15	OK	2026-05-12 00:14:33 +06	2026-05-12 00:22:38 +06	485	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed15.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed15_20260512-001437/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	15	OK	2026-05-12 00:22:38 +06	2026-05-12 00:30:46 +06	488	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed15.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed15_20260512-002242/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	15	OK	2026-05-12 00:30:46 +06	2026-05-12 00:35:10 +06	264	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed15.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed15_20260512-003050/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	16	OK	2026-05-12 00:35:10 +06	2026-05-12 00:43:15 +06	485	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed16.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed16_20260512-003514/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	16	OK	2026-05-12 00:43:15 +06	2026-05-12 00:51:23 +06	488	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed16.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed16_20260512-004318/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	16	OK	2026-05-12 00:51:23 +06	2026-05-12 00:55:46 +06	263	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed16.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed16_20260512-005126/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	17	OK	2026-05-12 00:55:46 +06	2026-05-12 01:03:51 +06	485	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed17.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed17_20260512-005550/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	17	OK	2026-05-12 01:03:51 +06	2026-05-12 01:12:13 +06	502	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed17.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed17_20260512-010354/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	17	OK	2026-05-12 01:12:13 +06	2026-05-12 01:17:04 +06	291	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed17.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed17_20260512-011218/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	18	OK	2026-05-12 01:17:05 +06	2026-05-12 01:25:44 +06	519	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed18.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed18_20260512-011710/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	18	OK	2026-05-12 01:25:44 +06	2026-05-12 01:34:45 +06	541	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed18.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed18_20260512-012549/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	18	OK	2026-05-12 01:34:45 +06	2026-05-12 01:39:39 +06	294	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed18.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed18_20260512-013450/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	19	OK	2026-05-12 01:39:39 +06	2026-05-12 01:48:28 +06	529	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed19.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed19_20260512-013945/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	19	OK	2026-05-12 01:48:28 +06	2026-05-12 01:57:24 +06	536	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed19.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed19_20260512-014833/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	19	OK	2026-05-12 01:57:24 +06	2026-05-12 02:02:16 +06	292	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed19.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed19_20260512-015728/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	CIFAR100	20	OK	2026-05-12 02:02:16 +06	2026-05-12 02:11:05 +06	529	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_CIFAR100_seed20.log	experiments/dino_visual_only_v2_20260511-191700/CIFAR100/bimc_dino_fusion/seed20_20260512-020221/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	miniimagenet	20	OK	2026-05-12 02:11:05 +06	2026-05-12 02:20:01 +06	536	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_miniimagenet_seed20.log	experiments/dino_visual_only_v2_20260511-191700/miniimagenet/bimc_dino_fusion/seed20_20260512-021110/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
dino_visual_only	cub200	20	OK	2026-05-12 02:20:01 +06	2026-05-12 02:24:55 +06	294	experiments/dino_visual_only_v2_20260511-191700/logs/dino_visual_only_cub200_seed20.log	experiments/dino_visual_only_v2_20260511-191700/cub200/bimc_dino_fusion/seed20_20260512-022006/results.json	branch=dino_visual_only,beta=0,omega=1,ensemble=false,vision_calibration=false
