dataset: CIFAR100
train_cfg: configs/trainers/bimc_ensemble.yaml
runtime_sec: 102.931
baseline_acc: 73.17
method_acc: 72.21
method_gain: -0.96
oracle_gain: 1.05
recovery_rate: -0.9143
test_class_balanced_nll: 4.527344
test_class_balanced_margin: 0.01593
changed_class_rate: 1.0
base_atom_usage_rate: 0.075
desc_atom_usage_rate: 0.775
mean_pruned_bank_size: 6.0
mean_confuser_count: 3.975
mean_selected_margin_gain: 5.3e-05
baseline_alignment_gap: 0.715332
method_alignment_gap: 0.700684
