phase	status	start	end	duration_sec	log
support_subspace_prototype_tric	OK	2026-05-19 01:31:39 +06	2026-05-19 01:43:45 +06	726	experiments/tric_b_family_tric_seed1_20260519-013139/logs/support_subspace_prototype_tric.log
support_subspace_ablation_tric	OK	2026-05-19 01:43:45 +06	2026-05-19 01:56:52 +06	787	experiments/tric_b_family_tric_seed1_20260519-013139/logs/support_subspace_ablation_tric.log
tric_nonqpr_followups	OK	2026-05-19 01:56:52 +06	2026-05-19 02:08:57 +06	725	experiments/tric_b_family_tric_seed1_20260519-013139/logs/tric_nonqpr_followups.log
