dataset: miniimagenet
baseline_full_acc: 92.46
transductive_oracle_full_acc: 100.0
transductive_oracle_gain: 7.54
routed_anchor_gain: 0.11
discrete_oracle_gain: 0.66
baseline_base_acc: 93.483
baseline_novel_acc: 90.925
transductive_oracle_base_acc: 100.0
transductive_oracle_novel_acc: 100.0
mean_alpha_base: 0.8466
mean_alpha_novel: 0.7362
